DATE,MEHOINUSNCA646N
1984-01-01,20570
1985-01-01,21450
1986-01-01,21860
1987-01-01,22760
1988-01-01,24420
1989-01-01,26410
1990-01-01,26330
1991-01-01,26850
1992-01-01,27770
1993-01-01,28820
1994-01-01,30110
1995-01-01,31980
1996-01-01,35600
1997-01-01,35840
1998-01-01,35840
1999-01-01,37250
2000-01-01,38320
2001-01-01,38160
2002-01-01,36520
2003-01-01,37280
2004-01-01,40240
2005-01-01,42060
2006-01-01,39800
2007-01-01,43510
2008-01-01,42930
2009-01-01,41910
2010-01-01,43830
2011-01-01,45210
2012-01-01,41550
2013-01-01,46340
2014-01-01,46780
2015-01-01,50800
2016-01-01,53760
2017-01-01,49550
2018-01-01,53370
2019-01-01,61160
2020-01-01,60430
2021-01-01,62890
2022-01-01,65070
